id,name,product_url,original_price,sale_price,image_url,source_page
55,Decorative 100% hand Knotted soft colors oushak design 100% pure wool rug size 8ft x 10ft new (BIG SAVING on this rug),https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-oushak-design-100wool-rug-size-8x10ft,"$4,500.00","$3,200.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000006629.jpg,4
56,Antique hand knotted authentic Caucasian shirvan size 3ft 6 inches by 5ft circa 1880s,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/antique-caucasian-shirvan-size-3x5,"$3,900.00","$2,250.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000006859.jpg,4
57,"Decorative hand Knotted silk and wool modern design size 8ft 10"" by 12ft soft colors",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-silk-and-wool-modern-design-size-8ft-10-by-12ft-soft-colors,"$6,500.00","$3,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000005565.jpg,4
58,Decorative handknotted 100% pure wool pile and cotton foundation transitional design size 9ft by 12ft,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-handknotted-100-pure-wool-pile-and-cotton-foundation-transitional-design-size-9ft-by-12ft,"$5,900.00","$3,700.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000005284.jpg,4
59,(sold) Decorative hand knotted silk & wool very fine modern design rug size 9ft by 12ft,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-silk--wool-very-fine-modern-design-rug-size-9ft-by-12ft,"$6,500.00","$3,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000004814.jpg,4
60,Decorative hand knotted silk & wool modern design rug size 9ft by 12ft with cotton foundation,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-silk--wool-modern-design-rug-size-9ft-by-12ft-with-cotton-foundation,"$6,500.00","$3,500.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000004815.jpg,5
61,"Antique hand knottted traditional Persian saroke design size 2'5"" by 5ft circa 1900",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/antique-hand-knottted-traditional-persian-saroke-design-size-25-by-5ft-circa-1900,"$1,450.00",$590.00,https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000004762.jpg,5
62,Decorative 100% handknotted antique look 100% pure wool pile and cotton foundation sultanabad design size 8ft by 10ft New (BIG SAVING on this rug),https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-handknotted-antique-look-100-pure-wool-pile-and-cotton-foundation-sultanabad-design-size-8ft-by-10ft--new,"$4,900.00","$2,450.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000004761.jpg,5
63,"Antique Hand knotted Coucasian Kazakh design Size 3ft 10"" x 7ft 8"" 100% pure wool Circa 1900s",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/antique-hand-knotted-coucasian-kazakh-design-size-3ft-10-x-7ft-8-100-pure-wool-circa-1900s,"$4,500.00","$2,750.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000003236.jpg,5
64,"Antique Hand knotted Coucasian shirvan design Size 3ft 8"" x6ft 1 100% pure wool Circa 1900s",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/antique-hand-knotted-coucasian-shirvan-design-size-3ft-8-x6ft-1-100-pure-wool-circa-1900s,"$4,500.00","$2,750.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000003235.jpg,5
